Book title,Author name,Star rating,Number of reviews,Length,Publisher
Infinity Rises (The Infinity Trilogy Book 2),S. Harrison,4,235,274,Skyscrape
Infinity Reborn (The Infinity Trilogy Book 3),S. Harrison,4,150,366,Skyscrape
Broken Prince: A Novel (The Royals Book 2),Erin Watt,4.5,554,350,Timeout
Age of Order,Julian North,5,18,339,Plebian Media
Cling: A Post Apocalyptic Thriller,Jeff Menapace,4.5,27,231,Mind Mess Press
Faerie Rift,Jae Vogel,4,27,252,Amazon 
The Tales of Beedle the Bard (Hogwarts Library Book),J.K. Rowling,4.5,1591,128,Pottermore
On the Meldon Plain (The Fourline Trilogy Book 2),Pam Brondos,4.5,242,365,Skyscrape
Star Wars: Ahsoka,E. K. Johnston,4.5,476,400,Disney Lucasfilm Press
Calamity (The Reckoners),Brandon Sanderson,4.5,801,434,Delacorte
Adorkable,Cookie O'Gorman,4.5,347,214,Amazon 
Empire of Storms (Throne of Glass series Book 5),Sarah J. Maas,4.5,1358,695,Bloomsbury USA Childrens
The Crown (The Selection),Kiera Cass,4,909,288,HarperCollins Publishers
The All-Stars,Sydney Faith,4.5,2,226,Sydney Faith
Because I Love You,Tori Rigby,4,40,308,Blaze Publishing
Purple Moon,Tessa Emily Hall,4.5,86,265,Lighthouse Publishing of the Carolinas
The Last Time We Were Us,Leah Konen,3.5,36,373,Katherine Tegen Books
Elementals 2: The Blood of the Hydra,Michelle Madow,4.5,177,310,Dreamscape Publishing
Firstlife (An Everlife Novel),Gena Showalter,4,185,475,Harlequin Teen
My Sister Rosa,Justine Larbalestier,4,48,320,Soho Teen
Capture the World,R.K. Ryals,5,28,199,Amazon 
The Thousandth Floor,Katharine McGee,5,155,448,HarperCollins Publishers
The Opposite of Ordinary,Jessica Sorensen,4,64,394,Amazon 
Dragonbound,Chelsea M. Campbell,4.5,92,290,Skyscrape
Immortal (The Dragonrider Chronicles),Nicole Conway,4,76,300,Month9Books
Ella's Twisted Senior Year,Amy Sparling,4,94,252,Amazon 
Elementals 3: The Head of Medusa,Michelle Madow,4.5,114,279,Dreamscape Publishing
Nerd of the Year,Supraja I.R.,3,10,362,BLVNP Incorporated
Three Dark Crowns,Kendare Blake,4,239,416,HarperTeen
Alien Frog Prince: A Space Age Fairy Tale,J.M. Page,4.5,68,227,Amazon 
Begin Again,Brittney Mulliner,4,25,213,Blue Tulip Publishing
With Malice,Eileen Cook,4,111,325,HMH Books for Young Readers
Passenger,Alexandra Bracken,4,236,497,Disney Hyperion
If I Was Your Girl,Meredith Russo,4.5,159,288,Flatiron Books
Holding Up the Universe,Jennifer Niven,4.5,98,402,Knopf Books for Young Readers
And I Darken,Kiersten White,4,193,498,Delacorte
Anna and the Swallow Man,Gavriel Savit,4,137,242,Knopf Books for Young Readers
On the Edge of Gone,Corinne Duyvis,4.5,34,468,Amulet Books
The Blue Sword,Robin McKinley,4.5,369,292,Greenwillow Books
The Safest Lies,Megan Miranda,4,27,370,Crown Books for Young Readers
Burn Baby Burn,Meg Medina,4,28,321,Candlewick
The Boyfriend Whisperer,Linda Budzinski,4.5,15,214,Swoon Romance
The Little Voice: A Rebellious Novel,Joss Sheldon,4,107,172,Amazon 
Horse Gone Silent,Shane Ledyard,4.5,99,136,Amazon 
All American Boys,Jason Reynolds and Brendan Kiely,4.5,112,321,Atheneum/Caitlyn Dlouhy Books
Elite: A Hunter Novel,Mercedes Lackey,4.5,106,368,Disney Hyperion
Ashes (Seeds of America Book 3),Laurie Halse Anderson,4.5,58,304,Atheneum/Caitlyn Dlouhy Books
Tainted Love (A Totally 80s Romance Book 2),Addison Moore,4.5,29,274,Hollis Thatcher Press
Replica,Lauren Oliver,4,73,544,HarperCollins Publishers
Love & Gelato,Jenna Evans Welch,4.5,218,400,Simon and Schuster
"Shuffle, Repeat",Jen Klein,4.5,29,338,Random House Books for Young Readers
Opposition (A Lux Novel),Jennifer L. Armentrout,4.5,577,300,Entangled: Teen
The Call,Peadar O'Guilin,4,85,320,Scholastic Inc.
One Paris Summer (Blink),Denise Grover Swank,4.5,164,346,HarperCollins Publishers
The First Time She Drowned,Kerry Kletter,4.5,128,343,Philomel Books
The Leaving,Tara Altebrando,3.5,52,432,Bloomsbury USA Childrens
Draken (The Southern Fire Series Book 1),S.B. Nova,5,9,376,Amazon 
Style,Chelsea M. Cameron,4.5,50,242,Amazon 
Alterations,Stephanie Scott,4.5,20,237,Bloomsbury Spark
The General (Cherub Book 10),Robert Muchamore,4.5,19,353,Simon Pulse
Traveler (Seeker),Arwen Elys Dayton,5,58,402,Delacorte
Walk the Edge (Thunder Road),Katie McGarry,4.5,121,441,Harlequin Teen
We Are the Ants,Shaun David Hutchinson,4.5,93,465,Simon Pulse
Endgame: Rules of the Game,James Frey,3,18,352,HarperCollins Publishers
In Plain Sight,Amy Sparling,4,32,201,Amy Sparling Books
"My Hero Academia, Vol 5",Kohei Horikoshi,5,23,192,VIZ Media
Nyssa Glass and the House of Mirrors,H.L. Burke,5,73,158,Amazon 
A Mortal Song,Megan Crewe,4,135,383,Another World Press
Been Here All Along,Sandy Hall,4,30,242,Swoon Reads
The Crown's Game,Evelyn Skye,4,189,416,HarperCollins Publishers
Shining Sea,Mimi Cross,4.5,22,434,Skyscrape
Defying Gravity,Kendra C. Highley,4,33,191,Entangled: Crush
Julie of the Wolves,Jean Craighead George,4,367,212,HarperCollins Publishers
Blackhearts,Nicole Castroman,4.5,11,400,Simon Pulse
Prom Ever After,Dona Sarkar,3,2,300,Harlequin Kimana TRU
